Name,Ticker,Sector,Sub-Sector,Market Cap,PE Ratio,Free Cash Flow,5Y Avg Cash Flow Margin,Total Equity,Total Debt,Operating Cash Flow,Capital Expenditure,Earnings Per Share,Return on Equity,ROCE,Dividend Yield,Debt to Equity,Close Price
Vijaya Diagnostic Centre Ltd,VIJAYA,Health Care,Hospitals & Diagnostic Centres,10757.82148,90.53119144,95.34,32.71574456,659.91,259.18,183.3,87.96,11.62624212,19.69764782,20.07627379,0.095136077,0.392750527,1020.1
Zydus Wellness Ltd,ZYDUSWELL,Consumer Staples,FMCG - Foods,10691.15467,40.05678035,217.9,11.23612399,5357.5,328.7,246.4,28.5,41.94420983,5.093462849,5.281650864,0.297592477,0.061353243,1680.15
Praj Industries Ltd,PRAJIND,Industrials,Construction & Engineering,10689.65013,37.72595776,110.9,7.258568319,1274.57,169.33,199.39,88.49,15.41930989,24.08783324,26.98498976,1.031725561,0.132852648,567.65
RBL Bank Ltd,RBLBANK,Financials,Private Banks,10645.12555,8.44924997,4751.34,5.045752851,14837.44,,4954.98,203.64,20.91680122,8.884007742,3.854722593,0.85264361,0,175.19
NMDC Steel Ltd,NSLNISP,Materials,Iron & Steel,10629.30742,-6.812261214,-3316.59,0,15488.26,6661.91,-2732.67,583.92,-5.324223317,-9.591097353,-8.401918252,,0.430126431,35.07
R R Kabel Ltd,RRKABEL,Industrials,Cables,10566.09723,35.44124118,149.28,4.274949993,1828.5,359.99,338.99,189.71,28.59553687,18.35662829,23.87799474,0.640645785,0.196877222,915.5
Sonata Software Ltd,SONATSOFTW,Information Technology,IT Services & Consulting,10550.66215,34.19987731,255.15,6.967062503,1406.29,765.46,280.54,25.39,11.11787257,22.79326472,27.77218664,2.998957015,0.544311628,370.05
Railtel Corporation of India Ltd,RAILTEL,Information Technology,Communication & Networking,10510.73283,42.69011344,346.67,18.56526533,1827.24,45.62,556.34,209.67,7.671565466,14.16579405,17.09591815,0.870229008,0.024966616,323.35
Eureka Forbes Ltd,EUREKAFORB,Consumer Staples,FMCG - Household Products,10450.78115,109.2720739,166.07,0,4226.84,38.74,194.47,28.4,4.943165995,2.297469996,2.670617986,,0.009165239,526.6
Olectra Greentech Ltd,OLECTRA,Industrials,Electrical Components & Equipments,10380.75081,135.0780847,63.96,2.641411858,916.61,120.75,143,79.04,9.362732696,8.744531112,15.26705029,0.031628054,0.131735416,1202.15
Usha Martin Ltd,USHAMART,Materials,Iron & Steel,10350.56237,24.41400691,166.22,8.966451245,2383.91,363.83,443.84,277.62,13.88022293,19.18813844,21.29121236,0.811516191,0.152619017,338.05
Marksans Pharma Ltd,MARKSANS,Health Care,Pharmaceuticals,10337.57137,32.95368624,21.57,12.54389016,2085.91,244.06,230.41,208.84,6.922442556,16.29191455,18.97464548,0.263019463,0.117004089,226
Jaiprakash Power Ventures Ltd,JPPOWER,Utilities,Renewable Energy,10273.33478,10.05267849,1728.51,22.02232211,11490.82,4222.85,1927.2,198.69,1.491144874,9.306554885,10.94659568,,0.367497707,14.42
Elecon Engineering Company Ltd,ELECON,Industrials,Heavy Electrical Equipments,10258.4428,28.84988695,333.32,20.06551267,1604.03,70.46,364.81,31.49,15.84581599,24.66616259,27.51353139,0.328119873,0.043926859,457.15
Ami Organics Ltd,AMIORG,Health Care,Pharmaceuticals,10208.44056,238.7939311,-155.74,8.975873523,682.76,216.65,125.17,280.91,11.66158903,6.696848173,10.8334464,0.108382554,0.317315016,2430.55
Quess Corp Ltd,QUESS,Industrials,Employment Services,10186.7728,36.6641693,425.97,3.861440669,2964.6,838.12,529.27,103.3,18.72622876,9.756645714,11.48143249,1.45786489,0.282709303,664.15
